molecule_chembl_id,canonical_smiles,bioactivityclass,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL138580,CC12CCC(=O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,intermediate,327.51200000000006,4.496400000000004,1.0,2.0,5.87942606879415
CHEMBL3084319,C[C@]12CC[C@H]3[C@@H](CC=C4CC(O)CC[C@@]43C)[C@@H]1CC[C@@H]2C1CS1,intermediate,332.55300000000005,5.041700000000005,1.0,2.0,5.6020599913279625
CHEMBL136897,CC1(C2CCC3C4CC=C5CC(O)CCC5(C)C4CCC32C)NN1,inactive,330.5160000000001,3.750300000000002,3.0,3.0,4.795880017344075
CHEMBL343929,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cc[nH]n3)=CCC12,active,338.495,4.726700000000004,2.0,2.0,6.7447274948966935
CHEMBL2112777,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@@H]1CN1,inactive,313.485,4.106300000000003,1.0,2.0,1.4685210829577449
CHEMBL3085258,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C1CO1,inactive,314.46900000000005,4.533300000000004,0.0,2.0,4.6020599913279625
CHEMBL341591,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,active,329.5280000000001,4.288200000000003,2.0,2.0,6.275724130399211
CHEMBL2111948,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,active,313.485,4.106300000000003,1.0,2.0,6.376750709602099
CHEMBL2111949,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@@H]1CO1,inactive,316.48500000000007,4.3251000000000035,1.0,2.0,4.6020599913279625
CHEMBL342012,CC12CCC(O)CC1=CCC1C2CCC2(C)C(C3CCN3)CCC12,inactive,329.52800000000013,4.288200000000003,2.0,2.0,3.9030899869919438
CHEMBL2112781,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CO1,inactive,316.48500000000007,4.3251000000000035,1.0,2.0,4.154901959985743
CHEMBL3085256,COC1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C5CO5)[C@@]4(C)CC[C@@H]32)C1,inactive,330.5120000000001,4.979200000000005,0.0,2.0,3.9030899869919438
CHEMBL134644,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3c[nH]cn3)=CCC12,active,338.495,4.726700000000004,2.0,2.0,7.3979400086720375
CHEMBL2111947,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,active,315.50100000000003,3.898100000000002,2.0,2.0,6.6777807052660805
CHEMBL2111950,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@]2(O)[C@@H]1CN1,inactive,331.50000000000006,3.013000000000001,3.0,3.0,4.494850021680094
CHEMBL2112782,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)C1=CC[C@@H]2[C@@H]1CN1,intermediate,313.485,3.8182000000000027,2.0,2.0,5.014573525916998
CHEMBL2112772,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@@H]1CN1,inactive,315.50100000000003,3.898100000000002,2.0,2.0,4.468521082957745
CHEMBL2112775,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@]2(O)[C@H]1CN1,inactive,331.50000000000006,3.013000000000001,3.0,3.0,3.9030899869919438
CHEMBL140021,CC1(C2CCC3C4CC=C5CC(O)CCC5(C)C4CCC32C)N=N1,inactive,328.5000000000001,5.108300000000005,1.0,3.0,3.9030899869919438
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,inactive,531.4399999999999,4.205800000000003,0.0,7.0,4.173925197299174
CHEMBL3085257,C[C@]12CC[C@H]3[C@@H](CC=C4CC(O)CC[C@@]43C)[C@@H]1CC[C@H]2C1CS1,inactive,332.55300000000005,5.041700000000005,1.0,2.0,3.9030899869919438
CHEMBL2111951,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)C1=CC[C@@H]2[C@H]1CN1,active,313.485,3.8182000000000027,2.0,2.0,6.366531544420414
CHEMBL419743,Cc1nc(C2CCC3C4CC=C5CC(O)CC[C@]5(C)C4CC[C@]23C)co1,intermediate,355.5220000000001,5.390320000000005,1.0,3.0,5.823908740944319
CHEMBL166709,O=C1/C(=C/c2cccnn2)CCc2ccccc21,inactive,236.27399999999997,2.6891000000000007,0.0,3.0,5.0
CHEMBL424556,O=C1/C(=C/c2ccnnc2)CCc2ccccc21,inactive,236.274,2.6891000000000016,0.0,3.0,5.0
CHEMBL2112522,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1ncc[nH]1,intermediate,338.495,4.726700000000004,2.0,2.0,5.823908740944319
CHEMBL169251,O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21,inactive,224.26299999999998,2.622200000000001,1.0,2.0,4.130768280269024
CHEMBL2112517,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cc[nH]n1,active,338.495,4.726700000000004,2.0,2.0,7.552841968657781
CHEMBL168636,O=C1/C(=C/c2cccnc2)CCc2ccccc21,inactive,235.28599999999997,3.294100000000002,0.0,2.0,4.318758762624412
CHEMBL90585,O=C1/C(=C/c2ccncc2)CCc2ccccc21,inactive,235.28599999999997,3.294100000000002,0.0,2.0,4.431798275933005
CHEMBL2112524,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C5=CNC(C(C)=O)N5)[C@@]4(C)CC[C@@H]32)C1,intermediate,426.6010000000002,4.446400000000003,2.0,5.0,5.263125638351577
CHEMBL433728,c1ccc2c(c1)CCC1C(c3ccsc3)C21,inactive,226.34400000000002,4.191500000000003,0.0,1.0,5.0
CHEMBL169449,O=C1c2ccccc2CCC1C(O)c1cnccn1,inactive,254.28900000000002,1.9552999999999998,1.0,4.0,5.0
CHEMBL2112526,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1c[nH]cn1,active,338.495,4.726700000000004,2.0,2.0,7.309803919971486
CHEMBL304903,c1ccc2c(c1)CCC1C(c3ccncc3)C21,inactive,221.30300000000003,3.525000000000002,0.0,1.0,4.443697499232712
CHEMBL2112533,Cc1nc([C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)c[nH]1,intermediate,354.53800000000007,5.1254200000000045,2.0,2.0,5.317584138322641
CHEMBL168434,O=C1/C(=C/c2c[nH]cn2)CCc2ccccc21,inactive,224.26299999999998,2.622200000000001,1.0,2.0,4.508638306165727
CHEMBL352645,c1ccc2c(c1)CCC1C(c3c[nH]cn3)C21,inactive,210.28000000000003,2.8531000000000004,1.0,1.0,4.045757490560675
CHEMBL325307,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC=C2c1c[nH]cn1,active,336.479,4.934900000000004,1.0,2.0,7.853871964321762
CHEMBL114864,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CC=C2c1ccnn1-c1ccccc1,intermediate,414.5930000000001,6.1893000000000065,1.0,3.0,5.823908740944319
CHEMBL115944,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1cc[nH]n1,intermediate,340.511,4.817000000000004,2.0,2.0,5.823908740944319
CHEMBL440930,c1cncc(C2C3CCc4ccccc4C32)c1,inactive,221.30300000000003,3.525000000000002,0.0,1.0,4.060480747381382
CHEMBL113205,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1ccon1,intermediate,341.49500000000006,5.0819000000000045,1.0,3.0,5.823908740944319
CHEMBL2112521,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1ccno1,active,339.47900000000004,4.9916000000000045,1.0,3.0,7.075720713938118
CHEMBL78215,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC=C2c1ccno1,active,337.463,5.199800000000005,0.0,3.0,7.494850021680094
CHEMBL166789,c1ccc(C2C3CCc4ccccc4C32)nc1,inactive,221.30300000000003,3.525000000000002,0.0,1.0,5.0
CHEMBL415753,O=C1/C(=C/c2cc[nH]n2)CCc2ccccc21,inactive,224.26299999999998,2.622200000000001,1.0,2.0,5.0
CHEMBL79955,Oc1c(F)c(F)c(F)c(F)c1/N=N/c1c(F)c(F)c(F)c(F)c1F,inactive,360.13500000000005,5.059500000000002,1.0,3.0,4.200659450546418
CHEMBL78395,Fc1c(F)c(F)c2[nH]c3c(F)c(F)c(F)c(F)c3o[nH]c2c1F,inactive,342.14500000000004,4.4794,2.0,1.0,4.301029995663981
CHEMBL419934,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1ncc[nH]1,intermediate,340.511,4.817000000000004,2.0,2.0,5.823908740944319
CHEMBL113966,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC[C@@H]2c1c[nH]cn1,active,338.495,5.025200000000004,1.0,2.0,7.102372908709558
CHEMBL113448,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC=C2c1cc[nH]n1,active,336.479,4.934900000000004,1.0,2.0,7.119186407719209
CHEMBL169664,O=C1c2ccccc2CCC1C(O)c1cccnn1,inactive,254.28900000000002,1.9552999999999996,1.0,4.0,5.0
CHEMBL168762,O=C1c2ccccc2CCC1C(O)c1ccnnc1,inactive,254.28900000000002,1.9552999999999996,1.0,4.0,5.0
CHEMBL309703,Oc1c(F)c(F)c(/N=N/c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,inactive,360.135,5.059500000000001,1.0,3.0,4.522878745280337
CHEMBL168444,O=C1c2ccccc2CCC1C(O)c1ccncn1,inactive,254.28900000000002,1.9552999999999998,1.0,4.0,5.0
CHEMBL325895,Cn1ccc(C2=CCC3C4CC=C5CC(O)CC[C@]5(C)C4CC[C@]23C)n1,intermediate,352.5220000000001,4.737100000000004,1.0,3.0,5.823908740944319
CHEMBL2112528,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](c5c[nH]cn5)[C@@]4(C)CC[C@@H]32)C1,intermediate,382.5480000000002,5.387800000000006,1.0,3.0,5.823908740944319
CHEMBL169086,O=C1/C(=C/c2cncs2)CCc2ccccc21,inactive,241.31499999999997,3.3556000000000017,0.0,3.0,4.6777807052660805
CHEMBL168700,c1ccc(C2C3CCc4ccccc4C32)cc1,inactive,220.31500000000003,4.1300000000000034,0.0,0.0,5.0
CHEMBL333604,Cn1nccc1C1=CCC2C3CC=C4CC(O)CC[C@]4(C)C3CC[C@]12C,intermediate,352.52200000000016,4.737100000000005,1.0,3.0,5.823908740944319
CHEMBL2112534,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5c[nH]cn5)[C@@]4(C)CC[C@@H]32)C1,intermediate,380.53200000000015,5.297500000000005,1.0,3.0,5.823908740944319
CHEMBL541717,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CC[C@@H]2c1c[nH]c(-c2ccccc2)n1,intermediate,416.6090000000001,6.484000000000007,2.0,2.0,5.823908740944319
CHEMBL113804,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1ccno1,intermediate,341.49500000000006,5.0819000000000045,1.0,3.0,5.823908740944319
CHEMBL2112518,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2c1c[nH]cn1,active,340.511,4.817000000000004,2.0,2.0,7.040958607678906
CHEMBL113407,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC[C@@H]2C1N=CC=N1,intermediate,338.495,4.615800000000004,0.0,3.0,5.823908740944319
CHEMBL424203,O=C1/C(=C/c2ccccn2)CCc2ccccc21,inactive,235.28599999999994,3.294100000000002,0.0,2.0,5.0
CHEMBL28689,O=C1/C(=C/c2ccccc2)CCc2ccccc21,inactive,234.29799999999997,3.8991000000000025,0.0,1.0,5.0
CHEMBL166974,O=C1/C(=C/c2ccsc2)CCc2ccccc21,inactive,240.32699999999997,3.960600000000003,0.0,2.0,5.0
CHEMBL307729,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC=C2n1cncn1,active,337.467,4.260800000000003,0.0,4.0,7.958607314841775
CHEMBL310822,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43C)C1CC=C2n1cncn1,active,339.483,4.052600000000003,1.0,4.0,7.585026652029182
CHEMBL74661,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43C)C1CC=C2n1ccnc1,active,338.495,4.657600000000004,1.0,3.0,8.045757490560675
CHEMBL78003,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC=C2n1ccnn1,active,337.467,4.260800000000003,0.0,4.0,8.045757490560675
CHEMBL310336,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC=C2n1ccnc1,active,336.479,4.865800000000005,0.0,3.0,8.096910013008056
CHEMBL78108,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43C)C1CC=C2n1ccnn1,active,339.483,4.052600000000003,1.0,4.0,8.0
CHEMBL131984,C[C@@H]1C(OC(=O)Cc2cccnc2)CC2CC1C2(C)C,active,273.376,3.238000000000002,0.0,3.0,6.337242168318426
CHEMBL132072,C[C@@H]1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C,active,273.376,3.238000000000002,0.0,3.0,6.585026652029182
CHEMBL337251,C[C@@H]1C(OC(=O)C(C)(C)c2cccnc2)CC2CC1C2(C)C,active,301.43000000000006,3.973100000000003,0.0,3.0,7.327902142064283
CHEMBL336403,CC12CCC(O)CC1=CCC1C2CCC2(C)/C(=C/C=N/O)CCC12,inactive,329.48400000000004,4.696500000000004,2.0,3.0,3.9030899869919438
CHEMBL137040,C/C(CC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C)=N\O,intermediate,343.5110000000001,5.374700000000005,1.0,3.0,5.443697499232712
CHEMBL135651,C/C(=N/O)[C@H]1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,inactive,329.4840000000001,4.984600000000005,1.0,3.0,3.9030899869919438
CHEMBL2112747,C/C(=N/O)[C@H]1CC=C2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,inactive,329.4840000000001,4.696500000000005,2.0,3.0,3.9030899869919438
CHEMBL135772,C/C(CC1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)=N\O,intermediate,345.5270000000001,5.166500000000005,2.0,3.0,5.008773924307505
CHEMBL2112731,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)C1CC/C2=C/C=N\O,active,329.48400000000004,4.696500000000004,2.0,3.0,6.2839966563652006
CHEMBL135993,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C/C=N/O)CCC12,active,329.48400000000004,4.984600000000005,1.0,3.0,6.522878745280337
CHEMBL2112737,C/C(=N/O)C1=CCC2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,inactive,329.4840000000001,4.696500000000005,2.0,3.0,3.9030899869919438
CHEMBL440165,CC12CCC(O)CC1=CCC1C2CCC2(C)C(C/C=N/O)CCC12,intermediate,331.50000000000006,4.776400000000004,2.0,3.0,5.559090917934782
CHEMBL2112735,C[C@]12CC[C@H]3[C@@H](CCC4=C[C@@H](O)CC[C@@]43C)C1CC/C2=C/C=N\O,active,329.48400000000004,4.696500000000004,2.0,3.0,6.853871964321762
CHEMBL135288,C/C(=N/O)C1=CC=C2C3CCC4=CC(=O)CCC4(C)C3CCC12C,inactive,325.45200000000006,4.824800000000004,1.0,3.0,3.9030899869919438
CHEMBL135351,C/C(=N/O)C1=CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,inactive,327.4680000000001,4.904700000000005,1.0,3.0,3.9030899869919438
CHEMBL132969,C/C(=N/O)C1CC=C2C3CC=C4CC(O)CCC4(C)C3CCC21C,inactive,329.4840000000001,4.696500000000005,2.0,3.0,3.9030899869919438
CHEMBL53644,c1ccc2c(c1)CCCC2CCn1ccnc1,inactive,226.323,3.3933000000000018,0.0,2.0,4.698970004336019
CHEMBL292899,c1cnc2c(c1)C(CCn1ccnc1)CCC2,inactive,227.31099999999995,2.7883000000000013,0.0,3.0,3.9030899869919438
CHEMBL323546,O=C(Cc1ccncc1)Oc1ccccc1,inactive,213.236,2.2297000000000002,0.0,3.0,4.0
CHEMBL102981,CC(C(=O)OC1CCCCC1)c1ccncc1,intermediate,233.311,3.0610000000000017,0.0,3.0,5.657577319177793
CHEMBL105298,CC1CCC(C(C)C)C(OC(=O)Cc2ccncc2)C1,inactive,275.392,3.6281000000000025,0.0,3.0,4.823908740944319
CHEMBL321729,CC1CCC(OC(=O)Cc2ccncc2)CC1,inactive,233.31099999999998,2.7460000000000013,0.0,3.0,4.443697499232712
CHEMBL104126,CC(C)CC(C)OC(=O)Cc1ccncc1,inactive,221.29999999999998,2.6019000000000005,0.0,3.0,4.769551078621726
CHEMBL104047,O=C(Cc1ccncc1)OC12CC3CC(CC(C3)C1)C2,active,271.35999999999996,3.1361000000000017,0.0,3.0,6.214670164989233
CHEMBL105044,CC1(OC(=O)Cc2ccncc2)CCCCC1,inactive,233.31099999999992,2.8901000000000012,0.0,3.0,4.958607314841775
CHEMBL102536,CC1(C)C2CCC1(C)C(OC(=O)Cc1ccncc1)C2,intermediate,273.37600000000003,3.382100000000002,0.0,3.0,5.657577319177793
CHEMBL104566,CC1CCC(OC(=O)Cc2ccncc2)C1,inactive,219.284,2.3559,0.0,3.0,4.494850021680094
CHEMBL102884,CC(C)(C)C1CCC(OC(=O)Cc2ccncc2)CC1,intermediate,275.39200000000005,3.7722000000000033,0.0,3.0,5.522878745280337
CHEMBL103685,CC(C)(C(=O)OC1CCCCC1)c1ccncc1,intermediate,247.33799999999997,3.235100000000002,0.0,3.0,5.346787486224656
CHEMBL102409,O=C(Cc1ccncc1)OC1CCCCC1,inactive,219.2839999999999,2.500000000000001,0.0,3.0,4.698970004336019
CHEMBL103040,O=C(Cc1ccncc1)OC1=CC2CCC1C2,inactive,229.27899999999994,2.4811000000000005,0.0,3.0,4.337242168318426
CHEMBL101743,CCC1CCC(OC(=O)Cc2ccncc2)CC1,intermediate,247.33799999999997,3.1361000000000017,0.0,3.0,5.568636235841013
CHEMBL319026,CC1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C,intermediate,273.376,3.238000000000002,0.0,3.0,5.7447274948966935
CHEMBL323585,CC(C)CCOC(=O)Cc1ccncc1,inactive,207.273,2.2134,0.0,3.0,4.0
CHEMBL105289,O=C(Cc1ccncc1)OC1CCCC1,inactive,205.25699999999992,2.1098999999999997,0.0,3.0,3.8827287043442356
CHEMBL102510,CC(C)OC(=O)Cc1ccncc1,inactive,179.21900000000002,1.5756999999999999,0.0,3.0,4.0
CHEMBL377770,Fc1ccc(Cn2ccnc2)cc1,inactive,176.19400000000002,2.0705,0.0,2.0,4.7342390832823895
CHEMBL441367,Clc1ccc(Cn2ccnc2)cc1,intermediate,192.64900000000003,2.5847999999999995,0.0,2.0,5.55129368009492
CHEMBL211207,Brc1ccc(Cn2ccnc2)cc1,intermediate,237.1,2.6939,0.0,2.0,5.170053304058364
CHEMBL427399,Ic1ccc(Cn2ccnc2)cc1,intermediate,284.1,2.5359999999999996,0.0,2.0,5.801342913045577
CHEMBL349822,N#Cc1ccc(Cn2ccnc2)cc1,intermediate,183.21400000000003,1.80308,0.0,3.0,5.115204636051019
CHEMBL13784,O=[N+]([O-])c1ccc(Cn2ccnc2)cc1,intermediate,203.20100000000002,1.8396,0.0,4.0,5.144480844332199
CHEMBL212741,Cc1ccc(Cn2ccnc2)cc1,intermediate,172.23100000000002,2.23982,0.0,2.0,5.055024091587952
CHEMBL166845,Oc1ccc(Cn2ccnc2)cc1,intermediate,174.203,1.637,1.0,3.0,5.0851281824599495
CHEMBL213596,FC(F)(F)c1cc(Cn2ccnc2)cc(C(F)(F)F)c1,inactive,294.198,3.969000000000001,0.0,2.0,4.710857164067667
CHEMBL446946,Fc1cc(F)cc(Cn2ccnc2)c1,inactive,194.18400000000003,2.2096,0.0,2.0,4.928117992693875
